"","V1","V2","V3","V4","V5"
"1","OTU","Specimen_no","Barcode","Taxon","locality"
"2","1","W.Ave_218","L 3933429","javensis","Kp. Sekam , tapah, Perak, West malaysia (04째20'N, 101째20'E); 800 m a.s.l"
"3","2","S_54137","L0617893","javensis","Gn. Bawang, Mattang; 600 m a.s.l"
"4","3","Ambi_&_Arifin AA 453","L 0372234","javensis","Wanariset Samboja, east Kalimantan"
"5","4","Rahmat_Si_Toroes_No_331","L 3928337","javensis","Parbasiran Merbau, East Sumatra"
"6","5","W.J._Lutjehars_WJL_4253","K 000934698","8: var polyphyllus","Enggano, West coast Sumatra; ? -- cited in Furtado as var. Polyphyllus"
"7","6","Rahmat_Si_Toroes_No_4350","L 3928336","javensis","Labuan Batu, Gn. Pangaribuan, East coast Sumatera"
"8","7","Carel_Hamel_&_Rahmat_Si_Toroes_N0_765","L 3928341","javensis","Karo, East coast Sumatera ; young plant"
"9","8","W.Ave  298","L 3933508","javensis","Kp. Sekam, NE of Tapah,Perak, W. Malaysia;(04째20'N, 101째20'E); alt. 1150 m"
"10","9","T. Smitinand No 637","L 3933495","javensis","Nackhon Si Thammarat, Thailand"
